index	number of relative images
1	8
2	5
3	5
4	7
5	9
6	9
7	4
8	4
9	4
10	5
11	4
12	5
13	5
14	7
15	2
16	5
17	5
18	4
19	3
20	2
21	6
22	9
23	3
24	3
25	7
26	3
27	9
28	6
29	6
30	5
31	4
32	4
33	7
34	3
35	9
36	10
37	7
38	8
39	7
40	5
41	8
42	3
43	12
44	7
45	7
46	5
47	6
48	6
49	6
50	7
51	2
52	4
53	3
54	5
55	9
56	3
57	5
58	7
59	2
60	6
61	8
62	5
63	3
64	9
65	5
66	4
67	4
68	4
69	2
70	3
71	2
72	5
73	11
74	5
75	4
76	3
77	5
78	10
79	0
80	1
81	10
82	3
83	4
84	1
85	3
86	7
87	3
88	2
89	3
90	3
91	5
92	2
93	2
94	8
95	5
96	1
97	11
98	1
99	2
100	2
101	4
102	5
103	4
104	4
105	5
106	3
107	3
108	5
109	2
110	7
111	2
112	4
113	6
114	3
115	3
116	5
117	4
118	2
119	4
120	8
121	5
122	5
123	1
124	8
125	8
126	10
127	6
128	3
129	4
130	4
131	3
132	4
133	4
134	1
135	2
136	1
137	1
138	0
139	1
140	0
141	4
142	1
143	1
144	1
145	3
146	1
147	3
148	3
149	10
150	2
151	1
152	2
153	5
154	3
155	1
156	1
157	2
158	1
159	2
160	1
161	1
162	1
163	1
164	1
165	1
166	0
167	3
168	1
169	2
170	2
171	3
172	1
173	1
174	1
175	2
176	1
177	4
178	5
179	2
180	3
181	0
182	0
183	1
184	1
185	2
186	3
187	2
188	5
189	1
190	6
191	2
192	1
193	5
194	3
195	1
196	10
197	2
198	7
199	3
200	1
201	5
202	0
203	5
204	2
205	2
206	1
207	0
208	2
209	6
210	2
211	0
212	1
213	2
214	1
215	2
216	1
217	3
218	2
219	3
220	0
221	1
222	0
223	3
224	2
225	4
226	4
227	2
228	2
229	6
230	2
231	2
232	1
233	4
234	3
235	2
236	3
237	4
238	6
239	4
240	1
241	8
242	4
243	2
244	5
245	4
246	6
247	1
248	2
249	2
250	0
251	2
252	15
253	2
254	1
255	3
256	3
257	1
258	1
259	2
260	9
261	6
262	2
263	5
264	5
265	3
266	2
267	4
268	9
269	4
270	0
271	5
272	5
273	4
274	7
275	4
276	5
277	3
278	2
279	2
280	6
281	2
282	5
283	7
284	3
285	0
286	4
287	5
288	9
289	4
290	6
291	4
292	1
293	1
294	0
295	6
296	6
297	6
298	4
299	3
300	11
301	3
302	5
303	2
304	2
305	5
306	3
307	2
308	14
309	0
310	2
311	4
312	5
313	1
314	2
315	3
316	6
317	4
318	3
319	1
320	6
321	2
322	4
323	1
324	1
325	1
326	2
327	2
328	0
329	1
330	1
331	1
332	0
333	1
334	2
335	0
336	4
337	0
338	2
339	3
340	0
341	0
342	4
343	2
344	1
345	2
346	0
347	4
348	2
349	0
350	8
351	3
352	2
353	0
354	1
355	1
356	2
357	1
358	2
359	0
360	7
361	3
362	0
363	3
364	1
365	4
366	3
367	0
368	5
369	5
370	2
371	1
372	3
373	3
374	3
375	1
376	4
377	1
378	2
379	1
380	2
381	0
382	6
383	8
384	3
385	2
386	4
387	4
388	1
389	1
390	4
391	5
392	5
393	2
394	4
395	1
396	4
397	3
398	3
399	4
400	5
401	6
402	2
403	0
404	3
405	3
406	6
407	5
408	1
409	5
410	1
411	1
412	7
413	4
414	2
415	3
416	0
417	0
418	0
419	1
420	15
421	1
422	0
423	2
424	1
425	1
426	0
427	0
428	1
429	1
430	0
431	6
432	3
433	1
434	1
435	2
436	9
437	2
438	0
439	3
440	2
441	3
442	5
443	2
444	1
445	3
446	2
447	5
448	3
449	4
450	2
451	2
452	4
453	0
454	1
455	3
456	2
457	2
458	4
459	2
460	3
461	3
462	5
463	12
464	1
465	3
466	6
467	1
468	4
469	1
470	4
471	6
472	4
473	8
474	6
475	7
476	2
477	5
478	6
479	6
480	5
481	3
482	6
483	5
484	4
485	3
486	3
487	2
488	1
489	5
490	3
491	4
492	3
493	5
494	3
495	6
496	4
497	4
498	6
499	3
500	5
501	6
502	4
503	6
504	3
505	4
506	1
507	2
508	6
509	2
510	3
511	2
512	3
513	4
514	2
515	2
516	3
517	5
518	0
519	1
520	0
521	2
522	3
523	2
524	7
525	3
526	0
527	4
528	2
529	1
530	0
531	3
532	4
533	2
534	0
535	6
536	0
537	1
538	4
539	0
540	3
541	1
542	0
543	6
544	6
545	1
546	5
547	2
548	2
549	1
550	1
551	1
552	0
553	0
554	6
555	1
556	1
557	3
558	1
559	2
560	0
561	0
562	8
563	3
564	1
565	0
566	7
567	4
568	2
569	3
570	6
571	0
572	4
573	2
574	4
575	5
576	0
577	5
578	5
579	1
580	1
581	4
582	3
583	3
584	3
585	5
